"isSpam","isRe","underscore","priority","isInReplyTo","sortedRec","subPunc","multipartText","hasImages","isPGPsigned","subSpamWords","noHost","numEnd","isYelling","isOrigMsg","isDear","isWrote","numLines","bodyCharCt","subExcCt","subQuesCt","numAtt","numRec","perCaps","hour","perHTML","subBlanks","forwards","avgWordLen","numDlr"
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",26,605,0,1,0,1,6.34005763688761,7,0,14.8148148148148,53.8461538461538,3.98850574712644,0
"F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F","T",32,1143,0,0,0,2,4.66439135381115,7,0,17.3913043478261,37.5,4.50769230769231,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",21,290,0,1,0,1,8.9622641509434,9,0,16.3636363636364,0,5.72972972972973,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T",127,4674,0,0,0,1,4.0590405904059,9,0,17.3913043478261,22.8346456692913,4.2565445026178,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",26,1115,0,0,0,1,9.64812712826334,10,0,8,0,4.15566037735849,0
"F","F","F","F","F","T","F","F","F","F","F","F","T","F","F","F","F",37,1637,0,0,0,1,2.55831452219714,10,0,14.2857142857143,0,4.58275862068966,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T",39,1182,0,0,0,1,6.61764705882353,14,0,15.2173913043478,12.8205128205128,4.03960396039604,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",30,982,0,0,0,1,6.72703751617076,10,0,14.7058823529412,0,4.39204545454545,0
"F","F","F","F","T","T","F","F","F","F","F","F","F","F","T","F","F",53,1559,0,0,0,2,7.67241379310345,10,0,15.7894736842105,77.3584905660377,4.42748091603053,0
"F","F","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",23,511,0,0,0,1,3.8265306122449,10,0,11.7647058823529,52.1739130434783,4.83950617283951,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",27,1023,0,0,0,1,8.17438692098093,10,0,15.7894736842105,33.3333333333333,4.42168674698795,0
"F","T","F","F","F","F","F","F","F","F","F","F","F","F","F","F","T",44,1378,0,0,0,2,25.0467289719626,11,0,13.1578947368421,0,4.9537037037037,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T",21,454,0,0,0,1,4.48179271708683,11,0,13.1578947368421,4.76190476190476,4.57692307692308,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",54,1660,0,0,0,2,16.5841584158416,11,0,15.7894736842105,37.037037037037,4.53932584269663,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",17,439,0,0,0,1,7.14285714285714,11,0,11.7647058823529,0,4.8,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",64,2496,0,0,0,1,6.20114643043252,12,0,17.5,0,4.94587628865979,0
"F","F","F","F","F","T","F","F","F","F","F","F","T","F","T","F","F",36,1047,0,0,0,1,11.3907284768212,14,0,14.2857142857143,8.33333333333333,4.26553672316384,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",126,5989,0,0,0,1,3.16136114160263,14,0,6.25,0,4.40522243713733,0
"F","F","F","F","F","T","F","F","F","F","T","F","F","F","F","F","F",20,726,0,1,0,1,0.910746812386157,14,0,14.8148148148148,0,4.12781954887218,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",39,1125,0,0,0,2,5.7001239157373,17,0,14.2857142857143,48.7179487179487,4.22513089005236,0
"F","F","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",19,489,0,0,0,2,7.14285714285714,19,0,10.3448275862069,10.5263157894737,4.23684210526316,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",36,1118,0,1,0,1,3.96732788798133,8,0,13.7254901960784,52.7777777777778,4.51052631578947,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",31,1266,0,0,0,1,3.8961038961039,8,0,11.1111111111111,0,4.42920353982301,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",34,1081,0,0,0,1,3.93401015228426,8,0,11.1111111111111,38.2352941176471,4.50285714285714,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T",24,675,0,0,0,1,3.88349514563107,8,0,11.1111111111111,33.3333333333333,4.4017094017094,0
"F","T","F","F","T","T","F","F","F","F","T","F","F","F","F","F","F",41,1528,0,0,0,1,3.60134003350084,8,0,12.5,60.9756097560976,4.73809523809524,1
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",28,849,0,1,0,1,3.53982300884956,9,0,13.1147540983607,0,4.10909090909091,0
"F","T","F","F","T","F","F","F","F","F","F","F","F","F","F","F","T",62,2054,0,1,0,2,4.3509272467903,9,0,13.8461538461538,75.8064516129032,4.31384615384615,0
"F","T","F","F","T","T","F","F","F","T","F","F","F","F","F","F","F",36,932,0,0,1,2,8.7893864013267,14,0,12.5,25,4.21678321678322,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",19,610,0,0,0,2,6.43153526970954,9,0,14.7058823529412,0,4.19130434782609,0
"F","T","F","F","T","T","F","F","F","F","T","F","F","F","F","F","T",27,1028,0,0,0,1,4.20918367346939,9,0,12.5,29.6296296296296,4.40449438202247,3
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","T","F","F",42,1221,0,0,0,1,6.44468313641246,9,0,14.5833333333333,42.8571428571429,4.51941747572816,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",42,1618,0,0,0,2,3.3469387755102,10,0,14.7058823529412,42.8571428571429,4.06976744186047,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T",36,1030,0,0,0,1,8.57580398162328,11,0,7.69230769230769,16.6666666666667,4.53472222222222,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","T","F","T",58,1416,0,0,0,1,8.68131868131868,11,0,9.30232558139535,55.1724137931034,4.81481481481481,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",27,735,0,0,0,1,10.4602510460251,12,0,12.5,0,4.30630630630631,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",44,1782,0,0,0,1,6.23076923076923,12,0,16.3265306122449,0,4.49826989619377,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","T",55,1315,0,0,0,1,8.30367734282325,12,0,9.30232558139535,58.1818181818182,4.58152173913043,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",38,1544,0,0,0,1,5.92334494773519,12,0,12,0,4.76348547717842,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",19,848,0,0,0,1,5.56464811783961,14,0,11.1111111111111,0,4.84920634920635,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",24,810,0,0,0,1,6.94183864915572,15,0,6.89655172413793,8.33333333333333,4.03787878787879,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",23,770,0,0,0,1,8.36575875486381,16,0,12.5,13.0434782608696,4.63063063063063,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",46,1142,3,0,0,1,7.68211920529801,21,0,13.7254901960784,32.6086956521739,4.17127071823204,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",33,777,3,0,0,1,8.08080808080808,21,0,13.7254901960784,21.2121212121212,4.125,1
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",33,858,0,0,0,1,11.4545454545455,21,0,8.33333333333334,0,4.54545454545455,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",38,1107,0,0,0,1,5.95399188092016,22,0,11.3636363636364,0,4.39880952380952,0
"F","F","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",39,1172,0,0,0,1,6.65873959571938,22,0,10,0,4.64640883977901,0
"F","T","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",21,455,3,0,0,1,12.2047244094488,22,0,13.7254901960784,9.52380952380952,4.09677419354839,0
"F","F","F","F","T","T","F","F","F","F","F","F","F","F","T","F","F",73,2511,0,0,0,2,2.89079229122056,1,0,14.2857142857143,35.6164383561644,4.13274336283186,7
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",28,727,0,0,0,1,5.50660792951542,2,0,11.4285714285714,0,4.54,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",20,602,0,0,0,1,4.78589420654912,14,0,10.6382978723404,0,4.84146341463415,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",61,2263,0,0,0,1,5.23846755277561,2,0,12.1212121212121,0,4.6173285198556,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",43,1208,0,0,0,1,7.67356881851401,3,0,15.5172413793103,25.5813953488372,4.43783783783784,3
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",43,1194,0,0,0,1,6.98529411764706,3,0,11.1111111111111,30.2325581395349,4.25,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",39,1090,0,1,0,1,8.93333333333333,3,0,15.1515151515151,12.8205128205128,4.12087912087912,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",41,1000,3,0,0,1,8.30769230769231,4,0,13.7254901960784,29.2682926829268,4.2483660130719,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","T",50,1328,3,0,0,1,8.53932584269663,4,0,13.7254901960784,44,4.40594059405941,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",39,825,0,0,0,1,6.83012259194396,7,0,14.7058823529412,0,5.05309734513274,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",14,545,0,0,0,1,5.1150895140665,8,0,21.0526315789474,0,4.65476190476191,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",43,1596,0,0,0,1,3.34476843910806,8,0,13.1578947368421,0,4.89915966386555,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",12,462,0,0,0,1,6.28930817610063,8,0,13.8888888888889,0,4.24,0
"F","T","F","F","T","T","F","F","F","F","F","F","F","F","F","F","F",59,2294,0,0,0,2,2.63157894736842,14,0,12.5,0,4.63414634146341,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",11,336,0,0,0,1,7.75510204081633,8,0,8.69565217391305,0,5.21276595744681,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",10,277,0,0,0,1,14.6892655367232,8,0,18.3673469387755,0,4.53846153846154,1
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",11,379,0,0,0,1,7.25190839694656,8,0,16.6666666666667,0,4.85185185185185,3
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",6,156,0,0,0,1,11.5789473684211,8,0,12.5,0,5,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",7,229,0,0,0,1,6.57894736842105,8,0,14.5454545454546,0,4.75,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",7,227,0,0,0,1,8.05369127516779,8,0,13.8888888888889,0,4.80645161290323,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",7,188,0,0,0,1,5.18518518518519,8,0,13.3333333333333,0,4.6551724137931,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",7,196,0,0,0,1,6.75675675675676,8,0,16.1290322580645,0,5.10344827586207,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",7,177,0,0,0,1,5.3030303030303,8,0,12.1212121212121,0,4.88888888888889,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",7,192,0,0,0,1,4.22535211267606,8,0,16.2790697674419,0,5.07142857142857,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",17,645,0,0,0,1,8.33333333333333,14,0,13.1578947368421,0,4.40816326530612,0
"F","T","F","F","T","T","F","F","F","F","T","F","F","F","F","F","F",21,815,0,0,0,1,3.59477124183007,10,0,13.2352941176471,23.8095238095238,4.896,0
"F","T","F","F","F","T","F","F","F","F","T","F","F","F","F","F","T",29,1026,0,0,0,2,2.77777777777778,10,0,13.2352941176471,17.2413793103448,4.44943820224719,0
"F","T","F","F","T","T","T","F","F","F","F","F","F","F","F","F","T",20,640,0,0,0,2,5.36912751677852,10,0,7.69230769230769,25,4.02702702702703,0
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",126,4614,0,0,0,1,4.10490307867731,11,0,11.9047619047619,0.793650793650794,4.44050632911392,3
"F","F","F","F","F","T","F","F","F","F","F","F","F","F","F","F","F",51,2101,0,0,0,1,5.35372848948375,11,0,11.4285714285714,0,4.58771929824561,0
